"","Word","N","M_Val","SD_Val","M_Aro","SD_Aro","M_Dom","SD_Dom","N_Female","N_Male","M_Val_Female","M_Val_Male","SD_Val_Female","SD_Val_Male","M_Aro_Female","M_Aro_Male","SD_Aro_Female","SD_Aro_Male","M_Dom_Female","M_Dom_Male","SD_Dom_Female","SD_Dom_Male","Item","English","Syllables_separation","Syllables","Length","Frequency","Categories"
"1","abandonado",59,2.35593220338983,1.90065970275302,6.38983050847458,2.24389554394955,3.74576271186441,2.24831906818822,46,13,2.17391304347826,3,1.65064765506132,2.58198889747161,6.6304347826087,5.53846153846154,2.16393361627666,2.40192230707631,3.5,4.61538461538461,2.35466440165991,1.60926802918084,722,"derelict","a-ban-do-na-do",5,10,17.83,2
"2","abejas",67,5.1044776119403,2.52343157623616,5.28358208955224,2.33423772613215,4.64179104477612,2.32705752906003,53,14,4.73584905660377,6.5,2.43492965777585,2.44162619201598,5.45283018867925,4.64285714285714,2.2749982057123,2.53003930821221,4.47169811320755,5.28571428571429,2.24981857033394,2.58482469063546,583,"bees","a-be-jas",3,6,7.28,1
"3","aborto",61,4.0983606557377,2.45428141576299,5.47540983606557,2.48063538484968,4.86885245901639,2.25444309336079,42,19,4.30952380952381,3.63157894736842,2.46426256953564,2.43151818865383,5.40476190476191,5.63157894736842,2.49936112626586,2.49912265307002,4.59523809523809,5.47368421052632,2.1759161099495,2.36569043369376,622,"abortion","a-bor-to",3,6,11.17,1
"4","abrasador",73,5.75342465753425,2.48764068233006,4.31506849315068,2.34447762677867,5.93150684931507,2.14300390886826,52,21,5.44230769230769,6.52380952380952,2.43675661596103,2.50237981967262,4.44230769230769,4,2.2088366340719,2.68328157299975,5.80769230769231,6.23809523809524,1.91012227858725,2.66279480818109,975,"scorching","a-bra-sa-dor",4,9,0.5,1
"5","abrazo",49,8.20408163265306,1.38413016964829,2.6734693877551,2.46971451708864,7.26530612244898,2.13868641736855,38,11,8.21052631578947,8.18181818181818,1.33877504997064,1.60113596038449,2.86842105263158,2,2.59074290328009,1.94935886896179,7.42105263157895,6.72727272727273,1.94006936275232,2.76010539983201,218,"hug","a-bra-zo",3,6,20.42,2
"6","abrumado",66,2.71212121212121,1.86271226164885,6.06060606060606,2.57131386875562,3.75757575757576,2.19832527907815,43,23,2.55813953488372,3,1.73620173259242,2.08893187146837,6.41860465116279,5.39130434782609,2.58413251668473,2.46316740719938,3.65116279069767,3.95652173913043,2.13679467260386,2.34478649676575,300,"overwhelmed","a-bru-ma-do",4,8,1.49,2
"7","absurdo",69,3.89855072463768,1.84027593468249,4.88405797101449,2.23959182129282,4.8695652173913,1.9547306379672,50,19,3.86,4,1.69042924146743,2.23606797749979,4.82,5.05263157894737,2.26499538225416,2.2229530961845,4.72,5.26315789473684,1.77327093133519,2.37678833870783,623,"absurd","ab-sur-do",3,7,17.91,2
"8","abundancia",69,7.57971014492754,1.68388379071445,3.11594202898551,2.31704827366033,6.88405797101449,2.00393900256512,50,19,7.76,7.10526315789474,1.53277126640019,1.99707388285142,3.02,3.36842105263158,2.29897936538129,2.40856172655867,6.92,6.78947368421053,1.94663498250238,2.20047841688072,624,"abundance","a-bun-dan-cia",4,10,13.26,1
"9","aburrido",69,3.66666666666667,2.00489596815826,4.02898550724638,2.35128884865022,5.27536231884058,2.05715435929612,54,15,3.68518518518519,3.6,1.94086222887522,2.29284601688444,4.14814814814815,3.6,2.34244999469317,2.41424344848887,5.18518518518519,5.6,1.89412272792859,2.61315354094845,48,"bored","a-bu-rri-do",4,8,7.39,2
"10","acariciar",70,7.6,1.95158798217603,3.44285714285714,2.30711385222363,6.77142857142857,2.14118637419233,52,18,7.42307692307692,8.11111111111111,2.06127843298293,1.52966312665428,3.46153846153846,3.38888888888889,2.2003701868722,2.65991793081907,6.73076923076923,6.88888888888889,2.05908207814183,2.42265991128586,94,"cuddle","a-ca-ri-ciar",4,9,3.97,1
"11","accidente",65,2.13846153846154,1.39055882513249,6.76923076923077,2.16339743494774,3.64615384615385,2.41370286871884,46,19,2.10869565217391,2.21052631578947,1.46406224624145,1.22832077643609,6.97826086956522,6.26315789473684,2.06008770508855,2.37678833870783,3.5,4,2.09496751499609,3.09120616516523,2,"accident","ac-ci-den-te",4,9,43.81,1
"12","acogedor",73,7.65753424657534,1.56541774760136,2.54794520547945,1.83364463940605,7.56164383561644,1.7399417404827,52,21,7.71153846153846,7.52380952380952,1.48636335332231,1.77817455889594,2.48076923076923,2.71428571428571,1.88378409960819,1.7361698402765,7.42307692307692,7.90476190476191,1.79701445045478,1.57812426331902,88,"cozy","a-co-ge-dor",4,8,2.38,1
"13","acontecimiento",63,5.26984126984127,1.64813040908968,4.06349206349206,1.90815749563861,6.12698412698413,1.96330911811981,48,15,5.10416666666667,5.8,1.51923249566567,1.97122152121832,4.02083333333333,4.2,1.91843889697286,1.93464651625488,6.20833333333333,5.86666666666667,2.03122783675852,1.76743020337707,740,"event","a-con-te-ci-mien-to",6,14,14.19,1
"14","activar",65,7.01538461538462,1.78090836804834,3.83076923076923,2.24004206691269,6.75384615384615,1.9924134958541,50,15,7,7.06666666666667,1.78428514239954,1.83095083286825,3.96,3.4,2.22196823945412,2.32379000772445,6.72,6.86666666666667,1.87398952363504,2.41621506453694,4,"activate","ac-ti-var",3,7,6.16,1
"15","acuerdo",56,7.17857142857143,1.64158618257014,2.94642857142857,1.92041324016135,7.19642857142857,1.78294590604878,37,19,7.21621621621622,7.10526315789474,1.75016086776704,1.44893588701445,2.91891891891892,3,1.97734921293886,1.85592145427667,7.02702702702703,7.52631578947368,1.73983534480336,1.86691727641025,631,"agreement","a-cuer-do",3,7,385.49,2
"16","acurrucarse",70,8.2,1.38940087181803,2.95714285714286,2.5277343598149,7.84285714285714,1.62975693293678,60,10,8.25,7.9,1.42168436745924,1.19721899973786,2.7,4.5,2.42375251855185,2.71825107171668,7.86666666666667,7.7,1.68207566151866,1.33749350984926,404,"snuggle","a-cu-rru-car-se",5,11,0.35,1
"17","adictivo",62,4.41935483870968,2.51909681379483,5.82258064516129,2.31548028901124,4.19354838709677,2.45509647019179,48,14,4.22916666666667,5.07142857142857,2.34511337414391,3.04995045897434,5.85416666666667,5.71428571428571,2.15356787910878,2.89372188947493,4.10416666666667,4.5,2.2993022376673,3.00640342244043,628,"addicted","a-dic-ti-vo",4,8,0.76,1
"18","adicto",54,2.66666666666667,2.19776902317902,5.64814814814815,2.5414110432682,3.74074074074074,2.55642132814372,42,12,2.28571428571429,4,1.82510560049595,2.89199522192488,5.54761904761905,6,2.51048902973282,2.73030134866931,3.83333333333333,3.41666666666667,2.58434939368072,2.53908835942542,581,"addict","a-dic-to",3,6,3.48,2
"19","adinerado",63,7.41269841269841,1.68134854319594,3.66666666666667,2.62739905732868,6.92063492063492,2.23102455345425,49,14,7.3469387755102,7.64285714285714,1.80913216313056,1.15072838853303,3.73469387755102,3.42857142857143,2.61227479255853,2.76556533973646,6.87755102040816,7.07142857142857,2.19500050361825,2.4326081512612,488,"wealthy","a-di-ne-ra-do",5,9,0.67,1
"20","admirado",65,7.09230769230769,1.94231721246715,4,2.45586033804856,6.63076923076923,2.20488967105805,45,20,7.11111111111111,7.05,1.64070691834928,2.54382637606794,4,4,2.46797672009059,2.49209275826352,6.53333333333333,6.85,2.20123932034991,2.25423577900991,5,"admired","ad-mi-ra-do",4,8,3.48,2
"21","adorable",80,7.65,1.68462894535987,3.225,2.34911779831914,7.1875,1.82870051392246,63,17,7.84126984126984,6.94117647058824,1.60850911943377,1.8190171877725,2.92063492063492,4.35294117647059,2.23102455345425,2.49852897898414,7.42857142857143,6.29411764705882,1.72938816063319,1.96101714303933,6,"adorable","a-do-ra-ble",4,8,1.37,1
"22","adulto",69,5.36231884057971,2.16231775493711,4.65217391304348,2.12011436259602,5.56521739130435,2.39164145496453,53,16,5.45283018867925,5.0625,2.13547002334605,2.29401394939089,4.75471698113208,4.3125,2.26091931929468,1.57982066492793,5.50943396226415,5.75,2.59898383625833,1.57056253191863,546,"adult","a-dul-to",3,6,23.21,2
"23","aerosol",63,5.03174603174603,1.72241628822526,4,1.78705019154381,5.6031746031746,1.93890293672847,49,14,4.79591836734694,5.85714285714286,1.60701057656671,1.91581044739026,4.24489795918367,3.14285714285714,1.76222648285365,1.65748386032949,5.30612244897959,6.64285714285714,1.94940249000231,1.54954796669832,992,"spray","a-e-ro-sol",4,7,1.41,1
"24","afección",62,5.66129032258065,2.56037617873353,4.08064516129032,2.10618439166601,5.70967741935484,2.05966014046877,39,23,5.82051282051282,5.39130434782609,2.58407873099664,2.55376959227625,3.8974358974359,4.39130434782609,2.01043163465581,2.27114569475373,5.82051282051282,5.52173913043478,1.91767121477828,2.31339115934303,804,"illness","a-fec-ción",3,8,4.37,1
"25","afectar",65,3.47692307692308,1.92116250864298,5.64615384615385,1.97191823828006,4.49230769230769,2.02425199860248,46,19,3.54347826086957,3.31578947368421,1.97435245912432,1.82734268448742,5.58695652173913,5.78947368421053,2.00639075574383,1.93157815064439,4.41304347826087,4.68421052631579,1.84482564013841,2.45068316051186,808,"impair","a-fec-tar",3,7,19.94,1
"26","afecto",67,7.6865671641791,2.11924053880859,3.28358208955224,2.33423772613215,7.41791044776119,1.75938396356589,51,16,7.70588235294118,7.625,2.1193783772329,2.18708329364323,3.13725490196078,3.75,2.23624334850335,2.64575131106459,7.47058823529412,7.25,1.56656236615681,2.32379000772445,7,"affection","a-fec-to",3,6,15.04,3
"27","afeminado",59,5.49152542372881,1.90618667316797,3.94915254237288,2.10437744757134,6.01694915254237,1.98695335508939,45,14,5.66666666666667,4.92857142857143,1.77097815807074,2.26899793925681,3.77777777777778,4.5,1.96432834795659,2.5038431998092,5.86666666666667,6.5,1.93766494899027,2.13937445925744,394,"sissy","a-fe-mi-na-do",5,9,1.14,2
"28","afligido",69,3.14492753623188,2.06707638322427,5.34782608695652,2.00606497282411,4.17391304347826,2.24889856530552,57,12,3.28070175438596,2.5,2.16097188754201,1.44599761096244,5.29824561403509,5.58333333333333,1.81230823892687,2.84312035153866,4.24561403508772,3.83333333333333,2.10679768635436,2.91807325390428,127,"distressed","a-fli-gi-do",4,8,0.59,2
"29","afortunado",62,7.93548387096774,1.31661473187664,3.43548387096774,2.35825003013964,7.2258064516129,1.83248782644144,43,19,8.02325581395349,7.73684210526316,1.24381081268938,1.484815935587,3.53488372093023,3.21052631578947,2.30267791525331,2.52935976458736,7,7.73684210526316,1.93956303375393,1.484815935587,266,"lucky","a-for-tu-na-do",5,10,5,2
"30","agilidad",72,6.79166666666667,1.75978151652854,4.11111111111111,1.99686765665245,6.66666666666667,1.65299557355644,52,20,6.78846153846154,6.8,1.6370290936308,2.09259345512239,4.15384615384615,4,1.96423527388177,2.12751399277976,6.57692307692308,6.9,1.55104207659837,1.91668573598447,22,"agility","a-gi-li-dad",4,8,4.43,1
"31","agobiado",54,2.51851851851852,1.50145515255112,5.7037037037037,2.13355606803705,4.01851851851852,1.99518988305923,38,16,2.44736842105263,2.6875,1.50130336925732,1.53704261489394,5.89473684210526,5.25,2.26357136717216,1.77012240631357,3.76315789473684,4.625,2.05905003714736,1.7464249196573,55,"burdened","a-go-bia-do",4,8,1.28,2
"32","agonía",74,2.40540540540541,1.73536083586536,6.27027027027027,2.43994889513794,3.52702702702703,2.52235469990567,49,25,2.3265306122449,2.56,1.5862397241858,2.02237484161567,6.14285714285714,6.52,2.62995563967658,2.04368947412924,3.38775510204082,3.8,2.53160297152657,2.53311402559511,10,"agony","a-go-ní-a",4,6,6.52,1
"33","agradecido",59,7.93220338983051,1.66985862275473,3.16949152542373,2.12661737534843,7.35593220338983,1.74950940773068,40,19,7.825,8.1578947368421,1.75247078325256,1.50048725029708,3.15,3.21052631578947,2.29324537696566,1.78197603701375,7.25,7.57894736842105,1.83624477447721,1.57465302963627,433,"thankful","a-gra-de-ci-do",5,10,6.8,2
"34","agresivo",60,1.98333333333333,1.32116623707568,6.73333333333333,2.39962332260617,3.93333333333333,2.6416909496469,40,20,1.925,2.1,1.32795389169261,1.3337718577107,7.2,5.8,2.04061328136974,2.82097407588976,3.175,5.45,2.28582589013249,2.70428509864194,9,"aggressive","a-gre-si-vo",4,8,7.77,1
"35","agua",66,7.78787878787879,1.67804970601315,3.07575757575758,2.07779917635209,7.09090909090909,2.16067847412137,51,15,7.90196078431373,7.4,1.45951912575046,2.29284601688444,2.80392156862745,4,2.04958149721486,1.96396101212393,7.3921568627451,6.06666666666667,2.0305509732341,2.34419241856083,486,"water","a-gua",2,4,404.04,1
"36","aguanieve",68,6.01470588235294,1.91219688503278,3.98529411764706,1.93547130330962,6.07352941176471,1.8310438786903,48,20,6,6.05,2.07313104757647,1.50350467767462,3.875,4.25,1.95290291290531,1.91599912097552,6.04166666666667,6.15,1.87886717039061,1.75544266422131,983,"slush","a-gua-nie-ve",4,9,0.23,1
"37","aguja",62,4.79032258064516,2.14351554942559,3.93548387096774,2.071437037753,5.85483870967742,2.11820194546122,47,15,4.78723404255319,4.8,2.1461408257692,2.21036519283902,4.17021276595745,3.2,2.0357580463581,2.07708587070581,5.63829787234043,6.53333333333333,2.12055706293636,2.03071650503204,897,"needle","a-gu-ja",3,5,5.76,1
"38","ahogar",80,3.275,2.72807717326529,6.2125,2.83599713448999,3.9375,2.70650295175307,59,21,3.23728813559322,3.38095238095238,2.72497379329915,2.80136021382811,6.50847457627119,5.38095238095238,2.60882376293736,3.32379587935527,3.64406779661017,4.76190476190476,2.58485450710685,2.93095141387164,591,"drown","a-ho-gar",3,6,1.88,1
"39","ahorrar",70,6.52857142857143,2.02678748141585,4.3,1.95121664015342,6.2,2.19749528036953,50,20,6.74,6,1.93580653443868,2.20047841688072,4.14,4.7,1.96925345846427,1.89459063763403,6.08,6.5,2.25732368172613,2.06474160483506,969,"save","a-ho-rrar",3,7,11.13,1
"40","aire",60,7.1,1.92837861111261,3.06666666666667,2.19295224481123,6.71666666666667,2.18695412882436,44,16,7.27272727272727,6.625,1.80906806746658,2.21735578260835,2.81818181818182,3.75,2.13794867204826,2.26568606239552,6.81818181818182,6.4375,2.15959435545818,2.30849879070072,632,"air","ai-re",2,4,156.71,1
"41","alba",73,6.02739726027397,1.98587094480906,3.47945205479452,1.85674138869011,6.24657534246575,1.94208380295931,50,23,6.06,5.95652173913043,1.96302556981693,2.07754796180421,3.94,2.47826086956522,1.6952514713223,1.83078634912064,6.06,6.65217391304348,1.83403202518052,2.14494534052362,715,"dawn","al-ba",2,4,12.46,2
"42","alcohólico",63,2.61904761904762,1.66004830311157,5.85714285714286,2.361363349076,4.03174603174603,2.59632652382761,47,16,2.34042553191489,3.4375,1.50761250563931,1.86077940659284,6.25531914893617,4.6875,2.09001856769767,2.7741365022892,3.34042553191489,6.0625,2.19957106238111,2.67004993711104,582,"alcoholic","al-co-hó-li-co",5,10,4.98,2
"43","alegre",73,7.79452054794521,1.97876858529623,3.9041095890411,2.82923420911837,6.80821917808219,2.55852352304223,56,17,7.875,7.52941176470588,2.0096358783711,1.90780132150938,3.91071428571429,3.88235294117647,2.88744483277822,2.7129861993101,6.69642857142857,7.17647058823529,2.62103132274401,2.37790070539244,872,"merry","a-le-gre",3,6,15.52,3
"44","alegría",66,8.10606060606061,1.589666514411,4.31818181818182,2.96211510143105,7.10606060606061,2.24724643733538,43,23,8,8.30434782608696,1.74574312188794,1.25895998234819,4.48837209302326,4,2.92258930388836,3.07482445914323,7.30232558139535,6.73913043478261,2.06484040339026,2.56226801707088,240,"joy","a-le-grí-a",4,7,40.62,1
"45","alergia",61,4.36065573770492,2.86375503424697,5.31147540983607,2.45316790841663,4.70491803278689,2.55175927740766,50,11,4.48,3.81818181818182,2.89432943134379,2.78633026822672,5.46,4.63636363636364,2.45123875388984,2.46059859679417,4.44,5.90909090909091,2.54878922836162,2.30019761996857,636,"allergy","a-ler-gia",3,7,2.74,1
